lens,page_loc,domain_loc,macros,lens_actions,inline,routes,domain_file,classification
accounting,3100,1210,0,23,2,0,server/domains/accounting.js,DEEP
admin,2683,486,0,3,4,0,server/domains/admin.js,DEEP
affect,2231,504,0,3,0,0,server/domains/affect.js,DEEP
agents,1184,86,0,4,13,3,server/domains/agents.js,DEEP
agriculture,1982,859,0,18,0,0,server/domains/agriculture.js,DEEP
all,127,98,0,3,0,0,server/domains/all.js,THIN
alliance,700,433,0,3,0,0,server/domains/alliance.js,MODERATE
analytics,1092,64,0,4,0,3,server/domains/analytics.js,MODERATE
animation,688,72,0,4,0,0,server/domains/animation.js,MODERATE
anon,480,377,0,3,4,0,server/domains/anon.js,THIN
answers,752,0,0,0,0,0,,SCAFFOLD
app-maker,629,371,0,3,0,0,server/domains/appmaker.js,MODERATE
ar,522,545,0,3,0,6,server/domains/ar.js,DEEP
art,1305,493,0,8,0,3,server/domains/art.js,MODERATE
artistry,473,396,0,4,0,0,server/domains/artistry.js,THIN
astronomy,458,192,0,7,0,0,server/domains/astronomy.js,THIN
atlas,530,617,0,7,9,6,server/domains/atlas.js,DEEP
attention,967,423,0,3,6,0,server/domains/attention.js,MODERATE
audit,682,608,0,4,1,3,server/domains/audit.js,DEEP
automotive,747,310,0,6,0,0,server/domains/automotive.js,MODERATE
aviation,2124,708,0,18,0,0,server/domains/aviation.js,DEEP
billing,1113,489,0,3,0,0,server/domains/billing.js,MODERATE
bio,485,926,0,18,0,0,server/domains/bio.js,DEEP
black-market,311,45,0,2,0,1,server/domains/black-market.js,THIN
board,1992,456,0,3,0,0,server/domains/board.js,DEEP
bounties,205,0,0,0,0,0,,SCAFFOLD
bridge,786,47,0,4,0,0,server/domains/bridge.js,MODERATE
byo-keys,353,55,6,0,0,0,server/domains/byo-keys.js,THIN
calendar,2095,291,0,7,0,0,server/domains/calendar.js,DEEP
carpentry,791,81,0,4,0,0,server/domains/carpentry.js,MODERATE
chat,4231,760,0,20,15,6,server/domains/chat.js,DEEP
chem,674,930,0,12,0,0,server/domains/chem.js,DEEP
classroom,204,168,0,4,5,0,server/domains/classroom.js,THIN
code-quality,359,0,0,0,0,0,,SCAFFOLD
code,2601,868,0,14,0,3,server/domains/code.js,DEEP
cognition,412,0,0,0,2,0,,THIN
cognitive-replay,170,0,0,0,0,0,,SCAFFOLD
collab,2152,78,0,4,7,0,server/domains/collab.js,DEEP
command-center,2210,406,0,3,0,0,server/domains/commandcenter.js,DEEP
commonsense,1026,618,0,5,6,0,server/domains/commonsense.js,DEEP
construction,817,75,0,4,0,0,server/domains/construction.js,MODERATE
consulting,680,36,0,4,0,0,server/domains/consulting.js,MODERATE
cooking,690,167,0,6,0,0,server/domains/cooking.js,MODERATE
council,3485,60,0,4,8,0,server/domains/council.js,DEEP
crafting,1313,135,0,4,0,3,server/domains/crafting.js,MODERATE
creative-writing,864,50,0,4,0,0,server/domains/creativewriting.js,MODERATE
creative,1745,66,0,4,12,3,server/domains/creative.js,DEEP
creator,1194,58,0,2,0,0,server/domains/creator.js,THIN
